,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
125,Issa Diop\a712ca2b,fr FRA,DF,West Ham,25-080,1997,11,9,811,9.0,0,1,0,0,0,0,0,0.00,0.11,0.11,0.00,0.11,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Matches
126,Moussa Djenepo\254147d4,ml MLI,MF,Southampton,23-288,1998,11,5,438,4.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,1.5,1.5,0.2,1.7,0.30,0.05,0.35,0.30,0.35,Matches
127,Lewis Dobbin\e814e1cf,eng ENG,FWMF,Everton,19-086,2003,3,0,32,0.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
128,Matt Doherty\d557d734,ie IRL,DF,Tottenham,30-073,1992,13,7,765,8.5,1,4,1,0,0,0,0,0.12,0.47,0.59,0.12,0.59,2.0,2.0,1.8,3.8,0.24,0.21,0.44,0.24,0.44,Matches
129,Gabriel Dos Santos\67ac5bb8,br BRA,DF,Arsenal,24-101,1997,25,25,2196,24.4,3,0,3,0,0,6,1,0.12,0.00,0.12,0.12,0.12,1.9,1.9,0.7,2.7,0.08,0.03,0.11,0.08,0.11,Matches
130,Abdoulaye Doucouré\02b29014,ml MLI,MF,Everton,29-088,1993,20,20,1774,19.7,2,4,2,0,0,4,0,0.10,0.20,0.30,0.10,0.30,1.9,1.9,1.4,3.3,0.10,0.07,0.17,0.10,0.17,Matches
131,Kieran Dowell\2f6ec02a,eng ENG,FWMF,Norwich City,24-171,1997,11,4,356,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.6,0.7,0.04,0.15,0.19,0.04,0.19,Matches
132,Cody Drameh\e0d1510a,eng ENG,DF,Leeds United,20-112,2001,3,1,128,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
133,Martin Dúbravka\3a949a25,sk SVK,GK,Newcastle Utd,33-074,1989,17,17,1530,17.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
134,Shane Duffy\7314bba4,ie IRL,DF,Brighton,30-088,1992,18,15,1436,16.0,1,0,1,0,0,7,0,0.06,0.00,0.06,0.06,0.06,1.3,1.3,0.1,1.5,0.08,0.01,0.09,0.08,0.09,Matches
135,Paul Dummett\3fe6bd8c,wls WAL,DF,Newcastle Utd,30-185,1991,3,2,198,2.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
136,Lewis Dunk\282f75f3,eng ENG,DF,Brighton,30-129,1991,20,20,1763,19.6,1,0,1,0,0,1,1,0.05,0.00,0.05,0.05,0.05,0.8,0.8,0.2,1.0,0.04,0.01,0.05,0.04,0.05,Matches
137,Ederson\3bb7b8b4,br BRA,GK,Manchester City,28-225,1993,28,28,2520,28.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matches
138,Odsonne Édouard\0562b7f1,fr FRA,FW,Crystal Palace,24-073,1998,23,15,1271,14.1,6,3,5,1,1,2,0,0.42,0.21,0.64,0.35,0.57,6.5,5.7,2.1,7.8,0.46,0.15,0.61,0.40,0.55,Matches
139,Anthony Elanga\2fba6108,se SWE,FW,Manchester Utd,19-337,2002,12,6,550,6.1,2,0,2,0,0,0,0,0.33,0.00,0.33,0.33,0.33,2.2,2.2,0.6,2.8,0.36,0.09,0.46,0.36,0.46,Matches
140,Harvey Elliott\c8387671,eng ENG,MF,Liverpool,18-360,2003,5,3,282,3.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.3,1.0,0.22,0.10,0.32,0.22,0.32,Matches
141,Mohamed Elneny\47a34c4f,eg EGY,MF,Arsenal,29-262,1992,7,1,176,2.0,0,1,0,0,0,0,0,0.00,0.51,0.51,0.00,0.51,0.0,0.0,0.2,0.2,0.01,0.08,0.09,0.01,0.09,Matches
142,Mohamed Elyounoussi\68dc0dac,no NOR,MF,Southampton,27-238,1994,22,17,1509,16.8,4,1,4,0,0,3,0,0.24,0.06,0.30,0.24,0.30,4.7,4.7,1.9,6.6,0.28,0.11,0.39,0.28,0.39,Matches
143,Emerson\df8b52a5,br BRA,DF,Tottenham,23-075,1999,22,17,1510,16.8,0,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,0.6,0.6,1.7,2.3,0.04,0.10,0.14,0.04,0.14,Matches
144,Christian Eriksen\980522ec,dk DEN,MF,Brentford,30-044,1992,3,2,219,2.4,0,1,0,0,0,1,0,0.00,0.41,0.41,0.00,0.41,0.2,0.2,0.5,0.7,0.07,0.22,0.29,0.07,0.29,Matches
145,Oghenekaro Etebo\b579e83d,ng NGA,MF,Watford,26-141,1995,7,4,389,4.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.01,0.02,0.01,0.02,Matches
146,Jonny Evans\f8fcd2a5,nir NIR,DF,Leicester City,34-086,1988,11,9,779,8.7,1,1,1,0,0,2,0,0.12,0.12,0.23,0.12,0.23,0.7,0.7,0.5,1.2,0.09,0.05,0.14,0.09,0.14,Matches
147,Eberechi Eze\ae4fc6a4,eng ENG,MFFW,Crystal Palace,23-274,1998,6,1,142,1.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.03,0.05,0.08,0.03,0.08,Matches
148,Łukasz Fabiański\9328b835,pl POL,GK,West Ham,36-346,1985,29,29,2610,29.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
149,Fabinho\7f3b388c,br BRA,MF,Liverpool,28-158,1993,22,21,1882,20.9,4,1,3,1,1,5,0,0.19,0.05,0.24,0.14,0.19,2.5,1.8,0.7,2.5,0.12,0.04,0.16,0.08,0.12,Matches
150,Kiko Femenía\e5d01ecf,es ESP,DF,Watford,31-056,1991,21,20,1606,17.8,0,5,0,0,0,2,0,0.00,0.28,0.28,0.00,0.28,0.0,0.0,1.9,1.9,0.00,0.11,0.11,0.00,0.11,Matches
151,Evan Ferguson\4596da74,ie IRL,MF,Brighton,17-162,2004,1,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
152,Nathan Ferguson\2f8d27bc,eng ENG,DF,Crystal Palace,21-175,2000,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
153,Bruno Fernandes\507c7bdf,pt POR,MF,Manchester Utd,27-203,1994,27,26,2308,25.6,9,6,9,0,1,7,0,0.35,0.23,0.58,0.35,0.58,7.2,6.4,7.9,14.3,0.28,0.31,0.59,0.25,0.56,Matches
154,Álvaro Fernández\f127d782,es ESP,GK,Brentford,23-351,1998,12,12,1080,12.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
155,Federico Fernández\f25b010f,ar ARG,DF,Newcastle Utd,33-037,1989,7,5,523,5.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.8,0.07,0.06,0.13,0.07,0.13,Matches
156,Fernandinho\101da2b5,br BRA,MF,Manchester City,36-330,1985,13,6,610,6.8,1,1,1,0,0,1,0,0.15,0.15,0.30,0.15,0.30,1.4,1.4,0.8,2.1,0.20,0.11,0.32,0.20,0.32,Matches
157,Roberto Firmino\4c370d81,br BRA,FW,Liverpool,30-179,1991,16,8,790,8.8,5,3,5,0,0,3,0,0.57,0.34,0.91,0.57,0.91,4.6,4.6,2.0,6.6,0.53,0.22,0.75,0.53,0.75,Matches
158,Junior Firpo\24f59bb2,es ESP,DF,Leeds United,25-220,1996,19,15,1334,14.8,0,1,0,0,0,9,0,0.00,0.07,0.07,0.00,0.07,0.7,0.7,1.7,2.4,0.05,0.11,0.16,0.05,0.16,Matches
159,Ashley Fletcher\eeb6551f,eng ENG,FW,Watford,26-179,1995,3,0,30,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,1.16,0.00,1.16,1.16,1.16,Matches
160,Phil Foden\ed1e53f3,eng ENG,FW,Manchester City,21-306,2000,21,18,1608,17.9,7,3,7,0,0,1,0,0.39,0.17,0.56,0.39,0.56,7.7,7.7,4.6,12.3,0.43,0.26,0.69,0.43,0.69,Matches
161,Pablo Fornals\82927de4,es ESP,FWMF,West Ham,26-036,1996,28,25,2164,24.0,6,2,6,0,0,4,0,0.25,0.08,0.33,0.25,0.33,4.1,4.1,3.8,7.9,0.17,0.16,0.33,0.17,0.33,Matches
162,Adam Forshaw\9f1938ab,eng ENG,MF,Leeds United,30-173,1991,21,16,1440,16.0,0,1,0,0,0,5,0,0.00,0.06,0.06,0.00,0.06,0.3,0.3,1.1,1.4,0.02,0.07,0.09,0.02,0.09,Matches
163,Marcus Forss\82c215a0,fi FIN,FWMF,Brentford,22-285,1999,7,1,209,2.3,0,1,0,0,0,0,0,0.00,0.43,0.43,0.00,0.43,0.2,0.2,0.0,0.2,0.10,0.00,0.10,0.10,0.10,Matches
164,Fraser Forster\c3e39f12,eng ENG,GK,Southampton,34-013,1988,12,12,1080,12.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
165,Ben Foster\d0b3ceb9,eng ENG,GK,Watford,38-361,1983,18,18,1620,18.0,0,1,0,0,0,0,0,0.00,0.06,0.06,0.00,0.06,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches
166,Tariqe Fosu\3dcef539,gh GHA,DF,Brentford,26-145,1995,1,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.15,0.00,0.15,0.15,0.15,Matches
167,Ryan Fraser\d56543a0,sct SCO,FWMF,Newcastle Utd,28-034,1994,24,16,1349,15.0,2,3,2,0,0,3,0,0.13,0.20,0.33,0.13,0.33,2.4,2.4,2.0,4.3,0.16,0.13,0.29,0.16,0.29,Matches
168,Fred\b853e0ad,br BRA,MF,Manchester Utd,29-025,1993,23,21,1764,19.6,3,4,3,0,0,5,0,0.15,0.20,0.36,0.15,0.36,1.0,1.0,1.5,2.4,0.05,0.08,0.12,0.05,0.12,Matches
169,Ryan Fredericks\c067631c,eng ENG,DF,West Ham,29-171,1992,5,1,127,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02,Matches
170,Leo Fuhr Hjelde\d102b8a2,no NOR,DF,Leeds United,18-216,2003,2,0,150,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02,Matches
171,Conor Gallagher\c2731c10,eng ENG,MF,Crystal Palace,22-052,2000,25,25,2200,24.4,8,3,8,0,0,8,0,0.33,0.12,0.45,0.33,0.45,5.0,5.0,3.2,8.2,0.21,0.13,0.34,0.21,0.34,Matches
172,Dwight Gayle\e58a03c6,eng ENG,FW,Newcastle Utd,31-164,1990,5,0,32,0.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.14,0.05,0.18,0.14,0.18,Matches
173,Jean-Philippe Gbamin\6bd603db,ci CIV,MF,Everton,26-186,1995,3,1,67,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
174,David de Gea\7ba6d84e,es ESP,GK,Manchester Utd,31-143,1990,29,29,2610,29.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
175,Joe Gelhardt\01962d0d,eng ENG,FWMF,Leeds United,19-330,2002,13,2,467,5.2,2,1,2,0,0,4,0,0.39,0.19,0.58,0.39,0.58,2.2,2.2,0.4,2.6,0.42,0.07,0.50,0.42,0.50,Matches
176,Anwar El Ghazi\ffa90327,nl NED,FW,Everton,26-331,1995,2,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
177,Anwar El Ghazi\ffa90327,nl NED,FWMF,Aston Villa,26-331,1995,9,4,386,4.3,1,1,0,1,1,2,0,0.23,0.23,0.47,0.00,0.23,1.1,0.3,0.4,0.7,0.25,0.09,0.33,0.07,0.16,Matches
178,Saman Ghoddos\f7b1d4e0,ir IRN,MFDF,Brentford,28-205,1993,15,3,434,4.8,1,1,1,0,0,2,0,0.21,0.21,0.41,0.21,0.41,0.6,0.6,1.2,1.9,0.13,0.25,0.38,0.13,0.38,Matches
179,Dimitris Giannoulis\112c495e,gr GRE,DF,Norwich City,26-164,1995,11,7,546,6.1,0,1,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,0.1,0.1,0.3,0.4,0.01,0.05,0.06,0.01,0.06,Matches
180,Morgan Gibbs-White\32f60ed8,eng ENG,FWMF,Wolves,22-062,2000,2,0,9,0.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,1.22,0.00,1.22,1.22,1.22,Matches
181,Ben Gibson\bcfb0142,eng ENG,DF,Norwich City,29-074,1993,24,24,2134,23.7,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.0,1.2,0.05,0.00,0.05,0.05,0.05,Matches
182,Billy Gilmour\df10e27c,sct SCO,MF,Norwich City,20-292,2001,18,16,1416,15.7,0,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,0.7,0.7,1.9,2.6,0.04,0.12,0.17,0.04,0.17,Matches
183,Ben Godfrey\9f7c837d,eng ENG,DF,Everton,24-074,1998,19,19,1669,18.5,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.7,1.8,0.06,0.04,0.10,0.06,0.10,Matches
184,André Gomes\1961b2aa,pt POR,MF,Everton,28-243,1993,12,5,503,5.6,0,1,0,0,0,3,0,0.00,0.18,0.18,0.00,0.18,0.6,0.6,0.2,0.8,0.11,0.04,0.15,0.11,0.15,Matches
185,Toti Gomes\f0caab96,pt POR,DF,Wolves,23-073,1999,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
186,Joe Gomez\7a11550b,eng ENG,DF,Liverpool,24-311,1997,5,1,106,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
187,Charlie Goode\7aee4dd3,eng ENG,DF,Brentford,26-239,1995,6,4,450,5.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.5,0.03,0.07,0.10,0.03,0.10,Matches
188,Anthony Gordon\2bd83368,eng ENG,MFFW,Everton,21-034,2001,24,16,1505,16.7,3,2,3,0,0,2,0,0.18,0.12,0.30,0.18,0.30,2.4,2.4,1.8,4.1,0.14,0.11,0.25,0.14,0.25,Matches
189,Kaide Gordon\19a9cb70,eng ENG,FW,Liverpool,17-176,2004,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,4.48,0.00,4.48,4.48,4.48,Matches
190,Dan Gosling\7fec31a0,eng ENG,MF,Watford,32-057,1990,1,0,22,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
191,Demarai Gray\4468ec10,eng ENG,MFFW,Everton,25-275,1996,23,21,1692,18.8,5,2,5,0,0,3,0,0.27,0.11,0.37,0.27,0.37,3.2,3.2,2.7,5.9,0.17,0.14,0.31,0.17,0.31,Matches
192,Jack Grealish\b0b4fd3e,eng ENG,FW,Manchester City,26-201,1995,19,17,1446,16.1,2,2,2,0,0,2,0,0.12,0.12,0.25,0.12,0.25,4.1,4.1,5.0,9.1,0.26,0.31,0.57,0.26,0.57,Matches
193,Mason Greenwood\58eee997,eng ENG,FWMF,Manchester Utd,20-180,2001,18,16,1271,14.1,5,1,5,0,0,1,0,0.35,0.07,0.42,0.35,0.42,4.4,4.4,1.6,6.0,0.31,0.11,0.42,0.31,0.42,Matches
194,Sam Greenwood\f3354c07,eng ENG,FWMF,Leeds United,20-063,2002,2,0,81,0.9,0,1,0,0,0,0,0,0.00,1.11,1.11,0.00,1.11,0.1,0.1,0.2,0.3,0.08,0.22,0.30,0.08,0.30,Matches
195,Pascal Groß\8aec0537,de GER,MFDF,Brighton,30-288,1991,20,17,1376,15.3,0,3,0,0,1,0,0,0.00,0.20,0.20,0.00,0.20,2.1,1.3,3.2,4.5,0.14,0.21,0.35,0.09,0.30,Matches
196,Vicente Guaita\ab13a5aa,es ESP,GK,Crystal Palace,35-079,1987,24,24,2115,23.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
197,Marc Guéhi\d0706b27,eng ENG,DF,Crystal Palace,21-260,2000,28,28,2520,28.0,2,0,2,0,0,4,0,0.07,0.00,0.07,0.07,0.07,1.6,1.6,0.4,2.0,0.06,0.01,0.07,0.06,0.07,Matches
198,Bruno Guimarães\82518f62,br BRA,MF,Newcastle Utd,24-134,1997,8,3,290,3.2,1,0,1,0,0,1,0,0.31,0.00,0.31,0.31,0.31,0.9,0.9,0.5,1.3,0.27,0.14,0.41,0.27,0.41,Matches
199,İlkay Gündoğan\819b3158,de GER,MF,Manchester City,31-157,1990,20,15,1350,15.0,5,4,5,0,0,1,0,0.33,0.27,0.60,0.33,0.60,6.5,6.5,3.9,10.4,0.44,0.26,0.69,0.44,0.69,Matches
200,Angus Gunn\e082af5b,eng ENG,GK,Norwich City,26-067,1996,7,7,630,7.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
201,Grant Hanley\e9254eec,sct SCO,DF,Norwich City,30-130,1991,24,24,2087,23.2,1,0,1,0,0,2,0,0.04,0.00,0.04,0.04,0.04,1.2,1.2,0.2,1.4,0.05,0.01,0.06,0.05,0.06,Matches
202,Jack Harrison\aa849a12,eng ENG,FWMF,Leeds United,25-130,1996,27,24,1973,21.9,5,1,5,0,0,3,0,0.23,0.05,0.27,0.23,0.27,3.2,3.2,2.2,5.4,0.15,0.10,0.25,0.15,0.25,Matches
203,Kortney Hause\bf8fad51,eng ENG,DF,Aston Villa,26-257,1995,7,4,397,4.4,1,0,1,0,0,0,0,0.23,0.00,0.23,0.23,0.23,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches
204,Kai Havertz\fed7cb61,de GER,FWMF,Chelsea,22-292,1999,20,16,1305,14.5,6,2,6,0,0,2,0,0.41,0.14,0.55,0.41,0.55,5.5,5.5,1.1,6.6,0.38,0.08,0.45,0.38,0.45,Matches
205,Isaac Hayden\c951a6df,eng ENG,MFDF,Newcastle Utd,27-008,1995,14,12,1002,11.1,1,0,1,0,0,5,0,0.09,0.00,0.09,0.09,0.09,0.4,0.4,0.1,0.5,0.04,0.01,0.05,0.04,0.05,Matches
206,Hwang Hee-chan\169fd162,kr KOR,FWMF,Wolves,26-063,1996,22,16,1354,15.0,5,1,5,0,0,1,0,0.33,0.07,0.40,0.33,0.40,3.0,3.0,1.4,4.4,0.20,0.09,0.29,0.20,0.29,Matches
207,Jordan Henderson\935e6b8f,eng ENG,MF,Liverpool,31-286,1990,26,23,2003,22.3,2,5,2,0,0,3,0,0.09,0.22,0.31,0.09,0.31,1.4,1.4,3.4,4.8,0.06,0.15,0.22,0.06,0.22,Matches
208,Jeff Hendrick\989d5705,ie IRL,MF,Newcastle Utd,30-058,1992,3,0,72,0.8,1,0,1,0,0,0,0,1.25,0.00,1.25,1.25,1.25,0.0,0.0,0.0,0.1,0.04,0.06,0.10,0.04,0.10,Matches
209,Wayne Hennessey\76eca7e2,wls WAL,GK,Burnley,35-065,1987,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.06,0.06,0.00,0.06,Matches
210,Rico Henry\8a3c1dc7,eng ENG,DF,Brentford,24-265,1997,26,25,2087,23.2,2,0,2,0,0,2,0,0.09,0.00,0.09,0.09,0.09,1.5,1.5,0.7,2.2,0.06,0.03,0.09,0.06,0.09,Matches
211,Son Heung-min\92e7e919,kr KOR,FWMF,Tottenham,29-265,1992,26,26,2242,24.9,13,5,13,0,0,1,0,0.52,0.20,0.72,0.52,0.72,10.4,10.4,6.7,17.2,0.42,0.27,0.69,0.42,0.69,Matches
212,Ki-Jana Hoever\9a71e978,nl NED,DF,Wolves,20-071,2002,8,4,308,3.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.01,0.02,0.01,0.02,Matches
213,Rob Holding\d79a8c87,eng ENG,DF,Arsenal,26-191,1995,9,4,436,4.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.04,0.00,0.04,0.04,0.04,Matches
214,Mason Holgate\d0042ab9,eng ENG,DF,Everton,25-159,1996,16,14,1328,14.8,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.03,0.00,0.03,0.03,0.03,Matches
215,Callum Hudson-Odoi\15f3ec41,eng ENG,FWMF,Chelsea,21-143,2000,15,11,962,10.7,1,2,1,0,0,1,0,0.09,0.19,0.28,0.09,0.28,2.1,2.1,2.3,4.4,0.20,0.21,0.41,0.20,0.41,Matches
216,Will Hughes\a0666d3e,eng ENG,MF,Crystal Palace,26-347,1995,12,10,818,9.1,0,1,0,0,0,3,0,0.00,0.11,0.11,0.00,0.11,0.1,0.1,0.6,0.7,0.01,0.07,0.08,0.01,0.08,Matches
217,Pierre Højbjerg\8b04d6c1,dk DEN,MF,Tottenham,26-237,1995,27,27,2386,26.5,2,2,2,0,0,2,0,0.08,0.08,0.15,0.08,0.15,1.7,1.7,1.8,3.5,0.06,0.07,0.13,0.06,0.13,Matches
218,Adam Idah\291e3ec3,ie IRL,FWMF,Norwich City,21-019,2001,17,6,625,6.9,1,1,1,0,0,0,0,0.14,0.14,0.29,0.14,0.29,2.0,2.0,0.6,2.6,0.28,0.09,0.37,0.28,0.37,Matches
219,Kelechi Iheanacho\c92e1a31,ng NGA,FW,Leicester City,25-178,1996,19,8,829,9.2,2,5,2,0,0,1,0,0.22,0.54,0.76,0.22,0.76,2.5,2.5,2.4,4.9,0.27,0.26,0.54,0.27,0.54,Matches
220,Danny Ings\07802f7f,eng ENG,FW,Aston Villa,29-250,1992,23,18,1524,16.9,5,5,4,1,1,2,0,0.30,0.30,0.59,0.24,0.53,4.6,3.9,1.6,5.4,0.27,0.09,0.37,0.23,0.32,Matches
221,Tim Iroegbunam\84c5ceea,eng ENG,MF,Aston Villa,18-273,2003,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
222,Alex Iwobi\6ca5ec4b,ng NGA,MFFW,Everton,25-331,1996,17,11,1045,11.6,2,1,2,0,0,1,0,0.17,0.09,0.26,0.17,0.26,1.5,1.5,1.4,2.9,0.13,0.12,0.25,0.13,0.25,Matches
223,Daniel James\c931d9f9,wls WAL,FWMF,Leeds United,24-140,1997,26,24,2025,22.5,4,3,4,0,0,6,0,0.18,0.13,0.31,0.18,0.31,5.0,5.0,2.4,7.4,0.22,0.11,0.33,0.22,0.33,Matches
224,Daniel James\c931d9f9,wls WAL,FW,Manchester Utd,24-140,1997,2,2,126,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.3,0.17,0.01,0.19,0.17,0.19,Matches
225,Reece James\1265a93a,eng ENG,DF,Chelsea,22-112,1999,17,15,1183,13.1,5,6,5,0,0,4,1,0.38,0.46,0.84,0.38,0.84,2.0,2.0,4.3,6.2,0.15,0.32,0.47,0.15,0.47,Matches
226,Vitaly Janelt\8449d35e,de GER,MF,Brentford,23-324,1998,24,21,1781,19.8,2,0,2,0,0,3,0,0.10,0.00,0.10,0.10,0.10,2.0,2.0,1.5,3.5,0.10,0.08,0.18,0.10,0.18,Matches
227,Pontus Jansson\172e52d8,se SWE,DF,Brentford,31-045,1991,30,30,2691,29.9,1,1,1,0,0,6,0,0.03,0.03,0.07,0.03,0.07,1.9,1.9,0.4,2.3,0.06,0.01,0.08,0.06,0.08,Matches
228,Mathias Jensen\0f134faf,dk DEN,MF,Brentford,26-088,1996,23,15,1223,13.6,0,1,0,0,0,0,0,0.00,0.07,0.07,0.00,0.07,1.4,1.4,3.0,4.3,0.10,0.22,0.32,0.10,0.32,Matches
229,Gabriel Jesus\b66315ae,br BRA,FW,Manchester City,24-361,1997,20,15,1338,14.9,2,7,2,0,0,0,0,0.13,0.47,0.61,0.13,0.61,5.3,5.3,3.4,8.7,0.36,0.23,0.59,0.36,0.59,Matches
230,Raúl Jiménez\b561db50,mx MEX,FW,Wolves,30-329,1991,28,25,2155,23.9,6,3,5,1,1,9,2,0.25,0.13,0.38,0.21,0.33,6.1,5.6,2.0,7.6,0.26,0.08,0.34,0.23,0.32,Matches
231,Joelinton\c17bfb65,br BRA,MFFW,Newcastle Utd,25-228,1996,26,21,1884,20.9,2,1,2,0,0,6,0,0.10,0.05,0.14,0.10,0.14,2.7,2.7,1.3,4.0,0.13,0.06,0.19,0.13,0.19,Matches
232,Ben Johnson\9319781b,eng ENG,DF,West Ham,22-065,2000,16,14,1206,13.4,1,0,1,0,0,1,0,0.07,0.00,0.07,0.07,0.07,0.1,0.1,0.6,0.7,0.01,0.04,0.05,0.01,0.05,Matches
233,Curtis Jones\4fb9c88f,eng ENG,MF,Liverpool,21-059,2001,12,7,639,7.1,1,1,1,0,0,0,0,0.14,0.14,0.28,0.14,0.28,0.7,0.7,0.5,1.1,0.09,0.06,0.16,0.09,0.16,Matches
234,Phil Jones\def899bd,eng ENG,DF,Manchester Utd,30-037,1992,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02,Matches
